time,cumulativeEmpty,cumulativeBatchingIdleReward,batchingIdleTime,batchingIdleFraction
99.7,7.05,77.4,38.7,0.3881644934804413239719157472417252
99.8,7.05,77.4,38.7,0.3877755511022044088176352705410822
99.9,7.05,77.4,38.7,0.3873873873873873873873873873873874
100.0,7.05,77.4,38.7,0.387
100.1,7.05,77.4,38.7,0.3866133866133866133866133866133866
100.2,7.05,77.4,38.7,0.3862275449101796407185628742514970
100.3,7.05,77.4,38.7,0.3858424725822532402791625124626122
100.4,7.05,77.4,38.7,0.3854581673306772908366533864541833
100.5,7.05,77.4,38.7,0.3850746268656716417910447761194030
100.6,7.05,77.4,38.7,0.3846918489065606361829025844930417
100.7,7.05,77.4,38.7,0.3843098311817279046673286991062562
100.8,7.05,77.4,38.7,0.3839285714285714285714285714285714
100.9,7.05,77.4,38.7,0.3835480673934588701684836471754212
101.0,7.05,77.4,38.7,0.3831683168316831683168316831683168
101.1,7.05,77.4,38.7,0.3827893175074183976261127596439169
101.2,7.05,77.4,38.7,0.3824110671936758893280632411067194
101.3,7.05,77.4,38.7,0.3820335636722606120434353405725568
101.4,7.05,77.4,38.7,0.3816568047337278106508875739644970
101.5,7.05,77.4,38.7,0.3812807881773399014778325123152709
101.6,7.05,77.4,38.7,0.3809055118110236220472440944881890
101.7,7.05,77.4,38.7,0.3805309734513274336283185840707965
101.8,7.05,77.4,38.7,0.3801571709233791748526522593320236
101.9,7.05,77.4,38.7,0.3797841020608439646712463199214917
102.0,7.05,77.4,38.7,0.3794117647058823529411764705882353
102.1,7.05,77.4,38.7,0.3790401567091087169441723800195886
102.2,7.05,77.4,38.7,0.3786692759295499021526418786692759
102.3,7.05,77.4,38.7,0.3782991202346041055718475073313783
102.4,7.05,77.4,38.7,0.3779296875
102.5,7.05,77.4,38.7,0.3775609756097560975609756097560976
102.6,7.05,77.4,38.7,0.3771929824561403508771929824561404
102.7,7.05,77.4,38.7,0.3768257059396299902629016553067186
102.8,7.05,77.4,38.7,0.3764591439688715953307392996108949
102.9,7.05,77.4,38.7,0.3760932944606413994169096209912536
103.0,7.05,77.4,38.7,0.3757281553398058252427184466019417
103.1,7.05,77.4,38.7,0.3753637245392822502424830261881668
103.2,7.05,77.4,38.7,0.375
103.3,7.05,77.4,38.7,0.3746369796708615682478218780251694
103.4,7.05,77.4,38.7,0.3742746615087040618955512572533849
103.5,7.05,77.4,38.7,0.3739130434782608695652173913043478
